外商投资产业指导目录
（2007年修订）
鼓励外商投资产业目录
一、,农、林、牧、渔业
1.,中低产农田改造
2.,木本食用油料、调料和工业原料的种植及开发、生产
3.,蔬菜（含食用菌、西甜瓜）、干鲜果品、茶叶无公害栽培技术及产品系列化开发、生产
4.,糖料、果树、牧草等农作物新技术开发、生产
5.,花卉生产与苗圃基地的建设、经营
6.,橡胶、剑麻、咖啡种植
7.,中药材种植、养殖（限于合资、合作）
8.,农作物秸秆还田及综合利用、有机肥料资源的开发生产
9.,林木（竹）营造及良种培育、多倍体树木新品种和转基因树木新品种培育
10.,水产苗种繁育（不含我国特有的珍贵优良品种）
11.,防治荒漠化及水土流失的植树种草等生态环境保护工程建设、经营
12.,水产品养殖、深水网箱养殖、工厂化水产养殖、生态型海洋种养殖
二、,采矿业
1.,煤层气勘探、开发和矿井瓦斯利用（限于合资、合作）
2.,石油、天然气的风险勘探、开发（限于合资、合作）
3.,低渗透油气藏（田）的开发（限于合资、合作）
4.,提高原油采收率及相关新技术的开发应用（限于合资、合作）
5.,物探、钻井、测井、录井、井下作业等石油勘探开发新技术的开发与应用（限于合作）
6.,油页岩、油砂、重油、超重油等非常规石油资源勘探、开发（限于合作）
7.,铁矿、锰矿勘探、开采及选矿
8.,提高矿山尾矿利用率的新技术开发和应用及矿山生态恢复技术的综合应用
9.,海底可燃冰勘探、开发（限于合作）
三、,制造业
（一）,农副食品加工业
1.,生物饲料、秸秆饲料、水产饲料的开发、生产
2.,水产品加工、贝类净化及加工、海藻功能食品开发
3.,蔬菜、干鲜果品、禽畜产品的储藏及加工
（二）,食品制造业
1.,婴儿、老年食品及功能食品的开发、生产
2.,森林食品的开发、生产和加工
3.,天然食品添加剂、食品配料生产（限于合资、合作）
（三）,饮料制造业
1.,果蔬饮料、蛋白饮料、茶饮料、咖啡饮料、植物饮料的开发、生产
（四）,烟草制品业
1.,二醋酸纤维素及丝束加工（限于合资、合作）
2.,造纸法烟草薄片生产（限于合资、合作）
3.,过滤嘴棒加工生产（限于合资、合作）
（五）,纺织业
1.,采用高新技术的产业用特种纺织品生产
2.,高档织物面料的织染及后整理加工
3.,符合生态、资源综合利用与环保要求的特种天然纤维（包括除羊毛以外的其他动物纤维、麻纤维、竹纤维、桑蚕丝、彩色棉花等）产品加工
4.,采用计算机集成制造系统的服装生产
5.,高档地毯、刺绣、抽纱产品生产
（六）,皮革、皮毛、羽毛（绒）及其制品业
1.,皮革和毛皮清洁化技术加工
2.,皮革后整饰新技术加工
3.,高档皮革（沙发革、汽车坐垫革）的加工
（七）,木材加工及木、竹、藤、棕、草制品业
1.,林业三剩物，“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产
（八）,造纸及纸制品业
1.,按林纸一体化建设的单条生产线年产30万吨及以上规模化学木浆和单条生产线年产10万吨及以上规模化学机械木浆以及同步建设的高档纸及纸板生产（限于合资、合作）
（九）,石油加工及炼焦业
1.,针状焦、煤焦油深加工
（十）,化学原料及化学制品制造业
1.,年产80万吨及以上规模乙烯生产（中方相对控股）
2.,乙烯下游产品衍生物的加工制造和乙烯副产品C4－C9产品（丁二烯生成合成橡胶除外）的综合利用
3.,年产20万吨及以上聚氯乙烯树脂生产（乙烯法）
4.,钠法漂粉精、聚氯乙烯和有机硅深加工产品生产
5.,苯、甲苯、二甲苯、乙二醇等基本有机化工原料及其衍生物生产
6.,合成材料的配套原料：双酚A生产、过氧化氢氧化丙烯法生产环氧丙烷
7.,合成纤维原料：精对苯二甲酸、己内酰胺、尼龙66盐、熔纺氨纶树脂生产
8.,合成橡胶：溶液丁苯橡胶（不包括热塑性丁苯橡胶）、丁基橡胶、异戊橡胶、聚氨酯橡胶、丙烯酸橡胶、氯醇橡胶、乙丙橡胶、丁腈橡胶，以及氟橡胶、硅橡胶等特种橡胶生产
9.,工程塑料及塑料合金：聚苯醚（PPO）、工程塑料尼龙11和尼龙12、聚酰亚胺、聚砜、聚芳酯（PAR）、液晶聚合物等产品生产
10.,精细化工：催化剂、助剂、添加剂新产品、新技术，染（颜）料商品化加工技术，电子、造纸用高科技化学品，食品添加剂、饲料添加剂，皮革化学品（N-N二甲基甲酰胺除外）、油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维、无机纳米材料生产，颜料包膜处理深加工
11.,低滞后高耐磨炭黑生产
12.,环保型印刷油墨、环保型芳烃油生产
13.,天然香料、合成香料、单离香料生产
14.,高性能涂料、水性汽车涂料及配套水性树脂生产
15.,氟氯烃替代物生产
16.,有机氟系列化工产品生产（氟氯烃或氢氟氯烃、四氟乙烯除外）
17.,从磷化工、铝冶炼中回收氟资源生产
