,output_file,content,restriction,sub_content
0,三、,制造业,,制造业
1,（一）,农副食品加工业,,农副食品加工业
2,1,生物饲料、秸秆饲料、水产饲料的开发、生产,,生物饲料、秸秆饲料、水产饲料的开发、生产
3,2,水产品加工、贝类净化及加工、海藻保健食品开发,,水产品加工、贝类净化及加工、海藻保健食品开发
4,3,蔬菜、干鲜果品、禽畜产品加工,,蔬菜、干鲜果品、禽畜产品加工
5,（二）,食品制造业,,食品制造业
6,1,婴儿、老年食品及保健食品的开发、生产,,婴儿、老年食品及保健食品的开发、生产
7,2,森林食品的开发、生产,,森林食品的开发、生产
8,3,天然食品添加剂、食品配料生产,,天然食品添加剂、食品配料生产
9,（三）,饮料制造业,,饮料制造业
10,1,果蔬饮料、蛋白饮料、茶饮料、咖啡饮料、植物饮料的开发、生产,,果蔬饮料、蛋白饮料、茶饮料、咖啡饮料、植物饮料的开发、生产
11,（四）,烟草制品业,,烟草制品业
12,1,二醋酸纤维素及丝束加工（限于合资、合作）,限于合资、合作,二醋酸纤维素及丝束加工
13,（五）,纺织业,,纺织业
14,1,采用非织造、机织、针织及其复合工艺技术的轻质、高强、耐高/低温、耐化学物质、耐光等多功能化的产业用纺织品生产,,采用非织造、机织、针织及其复合工艺技术的轻质、高强、耐高/低温、耐化学物质、耐光等多功能化的产业用纺织品生产
15,2,采用先进节能减排技术和装备的高档织物面料的织染及后整理加工,,采用先进节能减排技术和装备的高档织物面料的织染及后整理加工
16,3,符合生态、资源综合利用与环保要求的特种天然纤维（包括山羊绒等特种动物纤维、麻纤维、蚕丝、彩色棉花等）产品加工,,符合生态、资源综合利用与环保要求的特种天然纤维（包括山羊绒等特种动物纤维、麻纤维、蚕丝、彩色棉花等）产品加工
17,4,采用计算机集成制造系统的服装生产,,采用计算机集成制造系统的服装生产
18,5,功能性、绿色环保及特种服装生产,,功能性、绿色环保及特种服装生产
19,6,高档地毯、刺绣、抽纱产品生产,,高档地毯、刺绣、抽纱产品生产
20,（六）,皮革、皮毛、羽毛（绒）及其制品业,,皮革、皮毛、羽毛（绒）及其制品业
21,1,皮革和毛皮清洁化技术加工,,皮革和毛皮清洁化技术加工
22,2,皮革后整饰新技术加工,,皮革后整饰新技术加工
23,3,高档皮革加工,,高档皮革加工
24,4,皮革废弃物综合利用,,皮革废弃物综合利用
25,（七）,木材加工及木、竹、藤、棕、草制品业,,木材加工及木、竹、藤、棕、草制品业
26,1,林业三剩物，“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产,,林业三剩物，“次、小、薪”材和竹材的综合利用新技术、新产品开发与生产
27,（八）,造纸及纸制品业,,造纸及纸制品业
28,1,主要利用境外木材资源的单条生产线年产30万吨及以上规模化学木浆和单条生产线年产10万吨及以上规模化学机械木浆以及同步建设的高档纸及纸板生产（限于合资、合作）,限于合资、合作,主要利用境外木材资源的单条生产线年产30万吨及以上规模化学木浆和单条生产线年产10万吨及以上规模化学机械木浆以及同步建设的高档纸及纸板生产
29,（九）,石油加工、炼焦及核燃料加工业,,石油加工、炼焦及核燃料加工业
30,1,针状焦、煤焦油深加工,,针状焦、煤焦油深加工
31,（十）,化学原料及化学制品制造业,,化学原料及化学制品制造业
32,1,钠法漂粉精、聚氯乙烯和有机硅新型下游产品开发与生产,,钠法漂粉精、聚氯乙烯和有机硅新型下游产品开发与生产
33,2,"合成材料的配套原料：过氧化氢氧化丙烯法环氧丙烷、甘油法环氧氯丙烷、萘二甲酸二甲酯（NDC）、1,4-环乙烷二甲醇酯（CHDM）生产",,"合成材料的配套原料：过氧化氢氧化丙烯法环氧丙烷、甘油法环氧氯丙烷、萘二甲酸二甲酯（NDC）、1,4-环乙烷二甲醇酯（CHDM）生产"
34,3,"合成纤维原料：己内酰胺、尼龙66盐、熔纺氨纶树脂、1,3-丙二醇生产",,"合成纤维原料：己内酰胺、尼龙66盐、熔纺氨纶树脂、1,3-丙二醇生产"
35,4,合成橡胶：溶液丁苯橡胶（不包括热塑性丁苯橡胶）、高顺式丁二烯橡胶、丁基橡胶、异戊橡胶、聚氨酯橡胶、丙烯酸酯橡胶、氯醇橡胶、乙丙橡胶，以及氟橡胶、硅橡胶等特种橡胶生产,,合成橡胶：溶液丁苯橡胶（不包括热塑性丁苯橡胶）、高顺式丁二烯橡胶、丁基橡胶、异戊橡胶、聚氨酯橡胶、丙烯酸酯橡胶、氯醇橡胶、乙丙橡胶，以及氟橡胶、硅橡胶等特种橡胶生产
36,5,工程塑料及塑料合金：6万吨/年及以上非光气法聚碳酸酯（PC）、聚甲醛（POM）、聚酰胺（尼龙6、尼龙66、尼龙11和尼龙12）、聚乙烯醋酸乙烯酯（EVA）、聚苯硫醚、聚醚醚酮、聚酰亚胺、聚砜、聚醚砜、聚芳酯（PAR）、液晶聚合物等产品生产,,工程塑料及塑料合金：6万吨/年及以上非光气法聚碳酸酯（PC）、聚甲醛（POM）、聚酰胺（尼龙6、尼龙66、尼龙11和尼龙12）、聚乙烯醋酸乙烯酯（EVA）、聚苯硫醚、聚醚醚酮、聚酰亚胺、聚砜、聚醚砜、聚芳酯（PAR）、液晶聚合物等产品生产
37,6,精细化工：催化剂新产品、新技术，染（颜）料商品化加工技术，电子化学品和造纸化学品，食品添加剂、饲料添加剂，皮革化学品（N-N二甲基甲酰胺除外），油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维、无机纳米材料生产，颜料包膜处理深加工,,精细化工：催化剂新产品、新技术，染（颜）料商品化加工技术，电子化学品和造纸化学品，食品添加剂、饲料添加剂，皮革化学品（N-N二甲基甲酰胺除外），油田助剂，表面活性剂，水处理剂，胶粘剂，无机纤维、无机纳米材料生产，颜料包膜处理深加工
38,7,环保型印刷油墨、环保型芳烃油生产,,环保型印刷油墨、环保型芳烃油生产
39,8,天然香料、合成香料、单离香料生产,,天然香料、合成香料、单离香料生产
40,9,高性能涂料、水性汽车涂料及配套水性树脂生产,,高性能涂料、水性汽车涂料及配套水性树脂生产
41,10,氟氯烃替代物生产,,氟氯烃替代物生产
